,Name,BSE Code,NSE Code,MoneyControl Link,Rediff Link,Sector
51,Aditya Birla Minacs IT Services Ltd.,,PSIDATASYS,,https://money.rediff.com/companies/Aditya-Birla-Minacs-IT-Services-Ltd/13010008,
52,Aditya Birla Money Ltd.,,BIRLAMONEY,,https://money.rediff.com/companies/Aditya-Birla-Money-Ltd/14010479,
53,Aditya Birla Nuvo Ltd.(Amalgamated),,ABIRLANUVO,,https://money.rediff.com/companies/Aditya-Birla-Nuvo-Ltd-Amalgamated/17010009,
54,Aditya International Ltd.,,ADITYAINTL,,https://money.rediff.com/companies/Aditya-International-Ltd/16070037,
55,Aditya Spinners Ltd.,,ADITYASPINBE,,https://money.rediff.com/companies/Aditya-Spinners-Ltd/16030035,
56,Ador Welding Ltd.,,ADORWELD,,https://money.rediff.com/companies/Ador-Welding-Ltd/13580001,
57,Adroit Infotech Ltd.,,ADROITINFOBE,,https://money.rediff.com/companies/Adroit-Infotech-Ltd/15070005.01,
58,Advance Metering Technology Ltd.,,AMTL,,https://money.rediff.com/companies/Advance-Metering-Technology-Ltd/15150058,
59,Advanced Enzyme Technologies Ltd.,,ADVENZYMES,,https://money.rediff.com/companies/Advanced-Enzyme-Technologies-Ltd/11180007,
60,Advani Hotels & Resorts (India) Ltd.,,ADVANIHOTR,,https://money.rediff.com/companies/Advani-Hotels-Resorts-India-Ltd/16560013,
61,Advanta Ltd.,,ADVANTA,,https://money.rediff.com/companies/Advanta-Ltd/11140035,
62,Aegis Logistics Ltd.,,AEGISCHEM,,https://money.rediff.com/companies/Aegis-Logistics-Ltd/12040001,
63,Affle (India) Ltd.,,AFFLE,,https://money.rediff.com/companies/Affle-India-Ltd/14094934,
64,Aftek Ltd.,,AFTEKBZ,,https://money.rediff.com/companies/Aftek-Ltd/13030008,
65,Agarwal Industrial Corporation Ltd.,,AGARIND,,https://money.rediff.com/companies/Agarwal-Industrial-Corporation-Ltd/16590027,
66,AGC Networks Ltd.,,AGCNET,,https://money.rediff.com/companies/AGC-Networks-Ltd/15140006,
67,Agnite Education Ltd.,,TELEDATAGL,,https://money.rediff.com/companies/Agnite-Education-Ltd/13190043,
68,Agri-Tech (India) Ltd.,,AGRITECHBE,,https://money.rediff.com/companies/Agri-Tech-India-Ltd/11140091,
69,Agro Dutch Industries Ltd.,,AGRODUTCHBZ,,https://money.rediff.com/companies/Agro-Dutch-Industries-Ltd/11050001,
70,Agro Phos India Ltd.,,AGROPHOS,,https://money.rediff.com/companies/Agro-Phos-India-Ltd/12324353,
71,Agro Tech Foods Ltd.,,ATFL,,https://money.rediff.com/companies/Agro-Tech-Foods-Ltd/11070036,
72,Ahimsa Industries Ltd.,,AHIMSASM,,https://money.rediff.com/companies/Ahimsa-Industries-Ltd/11250565,
73,Ahlada Engineers Ltd.,,AHLADASM,,https://money.rediff.com/companies/Ahlada-Engineers-Ltd/13520883,
74,Ahluwalia Contracts (India) Ltd.,,AHLUCONT,,https://money.rediff.com/companies/Ahluwalia-Contracts-India-Ltd/11600049,
75,AI Champdany Industries Ltd.,,AICHAMPBE,,https://money.rediff.com/companies/AI-Champdany-Industries-Ltd/17020074,
